标题,地址,户型,关注,总价,均价,房源标签,房源链接
锦绣江南四期电梯3+1房 通风好 景观好 诚心出售,锦绣江南四期  | 4室2厅 | 112.87平米 | 东南 南 | 简装 | 有电梯,中楼层(共32层)2005年建塔楼  -  深圳北站,54人关注 / 共14次带看 / 7个月以前发布,520万,单价46071元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100786835.html
佳兆业水岸新都 精装修挑高 带100平大露台 开阔适用,佳兆业水岸新都  | 5室2厅 | 94.18平米 | 东南 | 精装 | 有电梯,低楼层(共9层)2007年建塔楼  -  中心城东,189人关注 / 共20次带看 / 10个月以前发布,438万,单价46507元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100609730.html
福民佳园大三房 户型方正 双地铁物业 车位充足 诚心卖,福民佳园  | 3室1厅 | 101.64平米 | 东北 | 其他 | 有电梯,中楼层(共31层)2004年建板塔结合  -  皇岗,1人关注 / 共1次带看 / 7天以前发布,650万,单价63952元/平米,距离4号线(龙华线)福民站273米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101167976.html
宝安中.  心 幸福海岸 两梯两户 大四房 精装修,幸福海岸一期  | 4室2厅 | 171.4平米 | 西南 | 精装 | 有电梯,高楼层(共18层)2005年建塔楼  -  宝安中心,4人关注 / 共10次带看 / 1个月以前发布,1400万,单价81681元/平米,距离1号线(罗宝线）宝体站694米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101117761.html
华侨城 一本证 高层看高尔夫安静东南朝向,波托菲诺侨香诺园  | 4室1厅 | 145.97平米 | 东南 南 | 其他 | 有电梯,高楼层(共29层)2008年建板楼  -  华侨城,2人关注 / 共1次带看 / 5天以前发布,1500万,单价102761元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101170544.html
鼎太风华四期南北通透三房 带大露台 高层视野开阔,鼎太风华四期  | 3室2厅 | 114.74平米 | 南 北 | 其他 | 有电梯,高楼层(共18层)2004年建板楼  -  前海,34人关注 / 共21次带看 / 2个月以前发布,980万,单价85411元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101054349.html
彩田村 4室2厅 1100万,彩田村  | 4室2厅 | 120.76平米 | 南 北 | 其他 | 有电梯,低楼层(共25层)2002年建板塔结合  -  莲花,1人关注 / 共2次带看 / 5天以前发布,1100万,单价91090元/平米,距离4号线(龙华线)莲花北站490米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101170354.html
金海花园 坐北朝南  户型方正 满五唯一 税费少,金海花园  | 4室2厅 | 120.35平米 | 南 | 精装 | 有电梯,高楼层(共11层)2000年建板塔结合  -  竹子林,20人关注 / 共17次带看 / 3个月以前发布,860万,单价71459元/平米,距离1号线(罗宝线）竹子林站822米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101017177.html
学府花园 3室2厅 640万,学府花园  | 3室2厅 | 101.75平米 | 南 北 | 其他,低楼层(共13层)1999年建板塔结合  -  南山中心,16人关注 / 共2次带看 / 5天以前发布,640万,单价62900元/平米,距离11号线南山站892米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101170428.html
聚龙苑 9室2厅 650万,聚龙苑  | 9室2厅 | 156.61平米 | 南 | 其他 | 有电梯,高楼层(共16层)2007年建板塔结合  -  中心城东,0人关注 / 共2次带看 / 5天以前发布,650万,单价41505元/平米,距离3号线(龙岗线)南联站590米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101170198.html
前海地段 三个卧室及客厅 都是南向 看体育馆 视野开阔,金成时代家园  | 3室1厅 | 106.78平米 | 西南 | 精装,低楼层(共18层)2006年建板塔结合  -  宝安中心,25人关注 / 共19次带看 / 3个月以前发布,680万,单价63683元/平米,距离1号线(罗宝线）宝体站240米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101024285.html
龙岗 龙城国际 正规三房 户型方正,龙城国际  | 3室1厅 | 136.03平米 | 南 | 简装,低楼层(共18层)2007年建板楼  -  中心城南,26人关注 / 共21次带看 / 3个月以前发布,635万,单价46681元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101020547.html
桃源居十三区复式三房满5唯一免增值税和个税,桃源居十三区  | 3室1厅 | 78.38平米 | 南 | 其他 | 无电梯,高楼层(共7层)2001年建板塔结合  -  桃源居,23人关注 / 共4次带看 / 22天以前发布,310万,单价39551元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101145985.html
新洲大厦 3室2厅 386万,新洲大厦  | 3室2厅 | 91.92平米 | 东北 | 精装 | 有电梯,低楼层(共33层)1996年建板塔结合  -  新洲,26人关注 / 共7次带看 / 30天以前发布,386万,单价41994元/平米,距离3号线(龙岗线)石厦站898米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101134416.html
5号线民治地铁口物业皓月花园大两房 中间位置中间楼层,皓月花园  | 2室1厅 | 76.17平米 | 东北 | 精装 | 无电梯,中楼层(共6层)2004年建板塔结合  -  民治,14人关注 / 共7次带看 / 29天以前发布,368万,单价48313元/平米,距离5号线(环中线)民治站703米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101135073.html
07年花园式社区 标准3房西南朝向带阳台 来福士广场,美丽湾国际公寓  | 3室1厅 | 58.67平米 | 西南 | 其他 | 有电梯,高楼层(共14层)2007年建塔楼  -  南山中心,18人关注 / 共9次带看 / 26天以前发布,425万,单价72440元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101140539.html
南向大三房 红本在手 高楼层采光好 户型方正 诚意出售,香榭里花园  | 3室2厅 | 137.09平米 | 南 | 简装 | 有电梯,高楼层(共9层)1999年建板塔结合  -  香蜜湖,14人关注 / 共6次带看 / 26天以前发布,1448万,单价105625元/平米,距离7号线农林站545米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101141092.html
南向大三房 红本在手 高楼层采光好 户型方正 诚意出售,香榭里花园  | 3室2厅 | 137.09平米 | 南 | 简装 | 有电梯,高楼层(共9层)1999年建板塔结合  -  香蜜湖,14人关注 / 共6次带看 / 26天以前发布,1448万,单价105625元/平米,距离7号线农林站545米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101141092.html
诺德假日花园 客厅出阳台 满五年深圳唯一住房,诺德假日花园  | 2室1厅 | 48.12平米 | 西南 | 其他 | 有电梯,中楼层(共29层)2008年建板塔结合  -  前海,31人关注 / 共7次带看 / 25天以前发布,380万,单价78970元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101142203.html
桃源村三期 地铁口物业 花园封闭式人车分流 停车位足,桃源村三期  | 3室1厅 | 89.25平米 | 东北 | 简装 | 有电梯,中楼层(共35层)2008年建板楼  -  西丽,12人关注 / 共8次带看 / 24天以前发布,500万,单价56023元/平米,距离7号线桃源村站421米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101143051.html
满五唯一红本 朝南 安静 居家舒适 房东诚意出售,中加名园  | 3室1厅 | 75.55平米 | 南 北 | 精装 | 无电梯,低楼层(共7层)2005年建板塔结合  -  布吉关,14人关注 / 共8次带看 / 23天以前发布,320万,单价42357元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101144551.html
南山二外 观海台花园 南北通透3房 客厅朝南看花园,观海台  | 3室2厅 | 118.18平米 | 南 北 | 简装 | 有电梯,高楼层(共18层)2003年建板塔结合  -  后海,10人关注 / 共8次带看 / 22天以前发布,1350万,单价114233元/平米,距离2号线(蛇口线)后海站286米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101147082.html
前海生活区 标准大三房 住家装修 拎包入住,槟城西岸  | 3室2厅 | 54.69平米 | 南 | 精装 | 有电梯,中楼层(共30层)2008年建板楼  -  碧海,5人关注 / 共6次带看 / 19天以前发布,485万,单价88682元/平米,距离11号线碧海湾站446米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101151161.html
红本在手，满五年唯一，精装修，70年产权，可入学,核电花园  | 3室2厅 | 98.75平米 | 西北 | 精装 | 有电梯,高楼层(共30层)1992年建板塔结合  -  百花,3人关注 / 共6次带看 / 19天以前发布,940万,单价95190元/平米,距离3号线(龙岗线)华新站716米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101151758.html
满五唯一，高楼层，视野宽阔，看房随时,松坪村东区三期  | 2室2厅 | 59.11平米 | 东南 | 精装,高楼层(共34层)2012年建  -  科技园,21人关注 / 共6次带看 / 18天以前发布,390万,单价65979元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101153639.html
原始三房 双地铁在旁 通风采光佳 看百合酒店安静居家,百合星城一期  | 3室1厅 | 79.72平米 | 东北 | 精装 | 有电梯,中楼层(共30层)2003年建塔楼  -  布吉关,43人关注 / 共7次带看 / 28天以前发布,286万,单价35876元/平米,距离3号线(龙岗线)布吉站690米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101137159.html
罗湖宝安南路 精装婚房两房 桂圆小旁 随时入住,西湖大厦  | 2室1厅 | 75.85平米 | 东 | 精装,中楼层(共14层)1999年建板塔结合  -  地王,52人关注 / 共10次带看 / 26天以前发布,268万,单价35333元/平米,距离9号线园岭站612米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101141747.html
满五年免个税自住精装保养好送全套红木家私看房随时。,书香门第名苑  | 3室2厅 | 82.2平米 | 西北 | 精装 | 有电梯,低楼层(共10层)2004年建板楼  -  深圳北站,7人关注 / 共8次带看 / 24天以前发布,475万,单价57786元/平米,距离4号线(龙华线)民乐站544米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101144132.html
桂冠华庭 3室2厅 300万,桂冠华庭  | 3室2厅 | 71.67平米 | 东南 | 精装 | 无电梯,中楼层(共5层)2006年建板塔结合  -  龙华中心,10人关注 / 共7次带看 / 30天以前发布,300万,单价41859元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101133930.html
精致二改三，户型方正，刚需上车，地体口上的物业,尚书苑  | 3室2厅 | 55.96平米 | 西南 | 精装 | 有电梯,中楼层(共22层)2005年建板塔结合  -  梅林,18人关注 / 共8次带看 / 21天以前发布,390万,单价69693元/平米,距离9号线梅景站261米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101148235.html
俊峰丽舍 2室1厅 485万,俊峰丽舍  | 2室1厅 | 77.38平米 | 北 | 其他 | 有电梯,低楼层(共18层)2004年建板塔结合  -  西丽,7人关注 / 共7次带看 / 29天以前发布,485万,单价62678元/平米,距离7号线桃源村站503米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101134987.html
前海核、心区域 地铁口 天虹商圈  高档社区,富源花园  | 3室1厅 | 89.03平米 | 东北 | 简装 | 有电梯,高楼层(共13层)1999年建板塔结合  -  翻身,10人关注 / 共9次带看 / 17天以前发布,430万,单价48299元/平米,距离5号线(环中线)翻身站492米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101154390.html
诚心出售高楼层南向双卫经典3房，精装修，满五唯一。,都市花园  | 3室2厅 | 82.94平米 | 南 | 精装 | 有电梯,高楼层(共35层)1998年建板塔结合  -  车公庙,26人关注 / 共6次带看 / 29天以前发布,510万,单价61491元/平米,距离1号线(罗宝线）购物公园站1028米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101136342.html
诺德假日花园 3+1 带阁楼户型 满五年 住家装修 南北通,诺德假日花园  | 3室2厅 | 85.55平米 | 东南 | 其他,高楼层(共30层)2009年建板塔结合  -  前海,27人关注 / 共6次带看 / 26天以前发布,820万,单价95851元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101141555.html
满五年唯一红本，露台可利用，70年产权住宅,白金酒店公寓  | 2室2厅 | 54.01平米 | 西南 | 简装,中楼层(共32层)2005年建板塔结合  -  新安,65人关注 / 共10次带看 / 22天以前发布,250万,单价46288元/平米,距离5号线(环中线)灵芝站792米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101147529.html
里城正朝南高楼层看小区花园和泳池 主卧阳台已打通,万科里城  | 2室1厅 | 69.97平米 | 南 | 精装 | 有电梯,高楼层(共18层)2010年建板塔结合  -  坂田,11人关注 / 共7次带看 / 22天以前发布,430万,单价61455元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101147407.html
阳光花园两房 满五年红本在手 带阁楼有花园 税费少,阳光花园  | 2室2厅 | 65.89平米 | 北 | 精装 | 无电梯,高楼层(共7层)2003年建板塔结合  -  布吉街,69人关注 / 共7次带看 / 29天以前发布,288万,单价43710元/平米,距离5号线(环中线)下水径站979米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101135008.html
满五红本，来福士和海岸城，精装修，三房两卫通透实用,海王大厦  | 3室1厅 | 121.2平米 | 南 | 精装 | 有电梯,中楼层(共32层)1994年建板塔结合  -  南山中心,29人关注 / 共13次带看 / 16天以前发布,425万,单价35067元/平米,距离11号线南山站1190米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101154794.html
美庐锦园 正规三房朝南  户型方正 适合居家,美庐锦园  | 3室2厅 | 112.41平米 | 南 | 精装 | 有电梯,低楼层(共19层)2002年建板塔结合  -  红树湾,10人关注 / 共5次带看 / 27天以前发布,828万,单价73659元/平米,距离1号线(罗宝线）白石洲站491米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101138710.html
满2年，顶楼复式，5个房间，2个卫生间，带12平米花园,丽湖花园二期  | 5室2厅 | 93.33平米 | 南 | 简装 | 无电梯,高楼层(共9层)1999年建板塔结合  -  布吉水径,42人关注 / 共6次带看 / 25天以前发布,290万,单价31073元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101142311.html
万科金域蓝湾 南向133平三房 前后大阳台 满五年唯一,万科金域蓝湾三期  | 3室2厅 | 133.38平米 | 西南 | 其他 | 有电梯,高楼层(共45层)2007年建板塔结合  -  上下沙,9人关注 / 共5次带看 / 25天以前发布,1130万,单价84721元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101142991.html
海印一期 南向4房 看小区花园 南山二外集团 满五V一,海印长城  | 4室2厅 | 126.31平米 | 南 | 简装 | 有电梯,中楼层(共15层)2002年建板塔结合  -  南山中心,5人关注 / 共0次带看 / 22天以前发布,1150万,单价91046元/平米,距离2号线(蛇口线)后海站931米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101146240.html
新上双地铁口复式四房看花园 6米挑高大阳台,中熙香缇湾  | 4室2厅 | 89.25平米 | 西北 | 精装 | 有电梯,中楼层(共25层)2009年建板塔结合  -  西乡,5人关注 / 共1次带看 / 14天以前发布,660万,单价73950元/平米,距离1号线(罗宝线）西乡站364米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101158093.html
